Course_Name,University,District,Z_Score,Stream,Unicode
COMPUTER SCIENCE & TECHNOLOGY,Uva Wellassa University of Sri Lanka,Colombo,0.9828,Physical | IT,077H
COMPUTER SCIENCE & TECHNOLOGY,Uva Wellassa University of Sri Lanka,Gampaha,0.9284,Physical | IT,077H
INDUSTRIAL INFORMATION TECHNOLOGY,Uva Wellassa University of Sri Lanka,Colombo,1.2856,Physical | IT | Other,077T
INDUSTRIAL INFORMATION TECHNOLOGY,Uva Wellassa University of Sri Lanka,Gampaha,1.2937,Physical | IT | Other,077T
SCIENCE & TECHNOLOGY,Uva Wellassa University of Sri Lanka,Colombo,0.4888,Physical | IT | Other,012T
SCIENCE & TECHNOLOGY,Uva Wellassa University of Sri Lanka,Gampaha,0.5475,Physical | IT | Other,012T
MINERAL RESOURCES AND TECHNOLOGY,Uva Wellassa University of Sri Lanka,Colombo,0.9133,Physical | IT | Other,076U
MINERAL RESOURCES AND TECHNOLOGY,Uva Wellassa University of Sri Lanka,Gampaha,0.9126,Physical | IT | Other,076U
POLYMER SCIENCE & TECHNOLOGY,University of Sri Jayewardenepura,Colombo,1.4660,Physical | IT | Other,139C
POLYMER SCIENCE & TECHNOLOGY,University of Sri Jayewardenepura,Gampaha,1.4979,Physical | IT | Other,139C
DATA SCIENCE,Sabaragamuwa University of Sri Lanka,Colombo,1.3870,Physical | IT,136L
DATA SCIENCE,Sabaragamuwa University of Sri Lanka,Gampaha,1.3814,Physical | IT,136L
INFORMATION COMMUNICATION TECHNOLOGY,University of Vavuniya Sri Lanka,Colombo,1.1583,Physical | IT,104R
INFORMATION COMMUNICATION TECHNOLOGY,University of Vavuniya Sri Lanka,Gampaha,1.1345,Physical | IT,104R
INFORMATION COMMUNICATION TECHNOLOGY,Rajarata University of Sri Lanka,Colombo,1.1323,Physical | IT,104K
INFORMATION COMMUNICATION TECHNOLOGY,Rajarata University of Sri Lanka,Gampaha,1.0597,Physical | IT,104K
INFORMATION COMMUNICATION,Uva Wellassa University of Sri Lanka,Colombo,1.3093,Physical | IT,105B
INFORMATION COMMUNICATION,Uva Wellassa University of Sri Lanka,Gampaha,1.0387,Physical | IT,105B
PHYSICAL SCIENCE-ICT,University of Sri Jayewardenepura,Colombo,1.4149,Physical | IT,108C
PHYSICAL SCIENCE-ICT,University of Sri Jayewardenepura,Gampaha,1.4277,Physical | IT,108C
PHYSICAL SCIENCE-ICT,University of Kelaniya,Colombo,1.3629,Physical | IT,108D
PHYSICAL SCIENCE-ICT,University of Kelaniya,Gampaha,1.1660,Physical | IT,108D
